frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,739.816,337.323,1,643.139,327.306,1,622.660,383.878,1,581.586,368.783,1,561.916,358.977,1,573.623,359.240,1
2,0.066803,1,739.936,337.187,1,644.617,327.827,1,619.191,388.292,1,581.081,368.985,1,561.107,356.984,1,571.390,358.326,1
3,0.100205,1,740.150,336.882,1,645.936,327.825,1,617.988,389.072,1,581.115,369.014,1,561.125,356.086,1,571.345,357.562,1
4,0.167008,1,740.507,336.313,1,646.503,328.221,1,616.238,390.080,1,580.798,368.513,1,561.029,354.826,1,571.201,356.437,1
5,0.200410,1,741.178,336.137,1,647.161,328.500,1,615.033,390.705,1,580.800,368.174,1,561.033,353.790,1,571.242,355.458,1
6,0.267213,1,741.348,335.693,1,647.359,328.588,1,615.086,391.691,1,580.593,367.929,1,560.729,352.991,1,570.832,354.723,1
7,0.300615,1,741.538,335.091,1,647.356,328.630,1,615.273,392.983,1,580.444,368.478,1,560.422,353.328,1,570.148,354.805,1
8,0.367418,1,741.646,334.770,1,647.309,328.776,1,615.144,394.331,1,580.367,368.534,1,560.428,353.386,1,570.198,354.899,1
9,0.400820,1,742.179,334.690,1,647.265,328.878,1,615.074,395.971,1,580.353,368.242,1,560.724,353.543,1,570.363,354.825,1
10,0.467623,1,742.544,334.660,1,647.254,329.116,1,614.820,398.205,1,580.777,368.088,1,562.309,352.856,1,572.055,354.200,1
11,0.501025,1,742.880,334.690,1,647.173,329.162,1,614.366,397.936,1,580.798,368.050,1,562.776,352.970,1,572.413,354.259,1
12,0.567828,1,743.116,334.679,1,647.142,329.179,1,614.085,398.371,1,580.652,368.139,1,562.448,353.669,1,571.531,354.774,1
13,0.601230,1,743.652,334.719,1,647.120,329.178,1,613.756,398.040,1,580.278,368.315,1,561.182,354.586,1,570.104,355.655,1
14,0.668033,1,743.900,334.763,1,647.138,329.156,1,613.704,397.973,1,581.827,369.020,1,563.722,355.588,1,572.602,356.636,1
15,0.701434,1,743.934,334.775,1,647.406,329.012,1,613.740,397.796,1,582.927,368.921,1,565.922,355.528,1,574.992,356.627,1
