frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
14,0.666667,-1,0,1,1,0.533061,-0.246619,6.924942,-0.419509,-0.217371,6.621389,-0.390298,-0.974337,6.509926,-0.291979,-0.634536,5.965015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.292480,31.197981,0.000000,0.000000,0.0,14,1,0,1,8.713242,31.344976,-0.951502,0.032002,-0.305975,0.030836,0.999487,0.008647,0.306094,-0.001207,-0.952000,1
15,0.700000,-1,0,1,1,0.532198,-0.245659,6.906506,-0.419277,-0.216927,6.601448,-0.388996,-0.973748,6.489688,-0.291382,-0.634087,5.944634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.292480,31.197981,0.000000,0.000000,0.0,15,1,0,1,8.762772,31.342030,-0.951557,0.031502,-0.305853,0.030393,0.999503,0.008387,0.305965,-0.001315,-0.952042,1
16,0.766667,-1,0,1,1,0.529958,-0.243625,6.867408,-0.417868,-0.214968,6.556681,-0.385273,-0.972167,6.444243,-0.289444,-0.631356,5.899290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.599945,31.197981,0.000000,0.000000,0.0,16,1,0,1,9.013809,31.449202,-0.951077,0.030713,-0.307424,0.029647,0.999527,0.008137,0.307529,-0.001375,-0.951538,1
17,0.800000,-1,0,1,1,0.528788,-0.242707,6.848289,-0.416905,-0.213898,6.533986,-0.383345,-0.970953,6.421252,-0.288340,-0.629538,5.876390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.736160,31.197981,0.000000,0.000000,0.0,17,1,0,1,9.161606,31.509348,-0.950696,0.030434,-0.308628,0.029406,0.999536,0.007984,0.308728,-0.001486,-0.951149,1
18,0.866667,-1,0,1,1,0.526665,-0.241132,6.812234,-0.414937,-0.211580,6.490277,-0.379582,-0.969241,6.376896,-0.286219,-0.625859,5.832506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.093002,31.197981,0.000000,0.000000,0.0,18,1,0,1,9.573318,31.684822,-0.949331,0.030222,-0.312821,0.029192,0.999542,0.007977,0.312919,-0.001559,-0.949779,1
19,0.900000,-1,0,1,1,0.525520,-0.240424,6.794440,-0.413692,-0.210301,6.468022,-0.377747,-0.967719,6.354382,-0.285091,-0.623678,5.810179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.261520,31.331532,0.000000,0.000000,0.0,19,1,0,1,9.787811,31.748631,-0.948551,0.030232,-0.315177,0.029220,0.999542,0.007937,0.315272,-0.001681,-0.949000,1
20,0.966667,-1,0,1,1,0.523610,-0.239338,6.762030,-0.411446,-0.207509,6.426944,-0.374629,-0.965210,6.312778,-0.283184,-0.620475,5.768812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.706848,31.331532,0.000000,0.000000,0.0,20,1,0,1,10.306274,31.805641,-0.946434,0.030743,-0.321432,0.029680,0.999526,0.008208,0.321531,-0.001771,-0.946897,1
21,1.000000,-1,0,1,1,0.522653,-0.238830,6.746404,-0.410249,-0.206200,6.406790,-0.373201,-0.963488,6.292434,-0.282299,-0.619523,5.748263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.915024,31.331532,0.000000,0.000000,0.0,21,1,0,1,10.565216,31.739754,-0.945347,0.031067,-0.324583,0.030004,0.999516,0.008280,0.324683,-0.001911,-0.945821,1
22,1.066667,-1,0,1,1,0.520942,-0.237893,6.716341,-0.407590,-0.203649,6.367340,-0.370566,-0.959521,6.252717,-0.280643,-0.619744,5.707215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.450928,31.331532,0.000000,0.000000,0.0,22,1,0,1,11.172272,31.349453,-0.942638,0.032043,-0.332276,0.030893,0.999484,0.008746,0.332385,-0.002021,-0.943142,1
23,1.100000,-1,0,1,1,0.520465,-0.237603,6.703802,-0.406626,-0.202746,6.350870,-0.369788,-0.958199,6.236129,-0.280132,-0.620513,5.689873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.690521,31.331532,0.000000,0.000000,0.0,23,1,0,1,11.438797,31.155125,-0.941349,0.032516,-0.335864,0.031358,0.999469,0.008873,0.335974,-0.002180,-0.941869,1
