frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,717.747,213.739,1,586.215,213.454,1,570.045,324.338,1,592.101,430.352,1,613.004,461.928,1,613.840,451.035,1
2,0.067787,1,718.364,213.951,1,586.562,213.144,1,569.790,326.986,1,592.070,431.920,1,612.599,463.418,1,613.497,452.622,1
3,0.101681,1,718.887,214.063,1,586.804,212.915,1,569.723,328.240,1,592.002,432.714,1,611.927,464.063,1,612.912,453.326,1
4,0.169468,1,719.369,214.078,1,587.140,212.757,1,569.709,328.967,1,591.982,433.310,1,611.715,464.479,1,612.680,453.840,1
5,0.203361,1,719.699,214.080,1,587.430,212.650,1,569.692,329.513,1,591.980,433.776,1,611.619,464.864,1,612.548,454.298,1
6,0.271148,1,719.817,214.077,1,587.783,212.573,1,569.706,330.082,1,591.980,433.867,1,611.530,464.945,1,612.431,454.406,1
7,0.305042,1,719.872,214.076,1,587.961,212.561,1,569.746,330.582,1,592.058,434.051,1,611.521,464.970,1,612.416,454.436,1
8,0.372829,1,719.899,214.119,1,588.087,212.570,1,569.831,330.965,1,592.346,434.368,1,611.581,465.091,1,612.486,454.567,1
9,0.406723,1,719.938,214.168,1,588.163,212.586,1,569.899,331.266,1,592.633,434.746,1,611.653,465.317,1,612.559,454.811,1
10,0.474510,1,720.079,214.232,1,588.256,212.601,1,569.985,331.556,1,592.883,435.020,1,611.741,465.508,1,612.633,455.022,1
11,0.508403,1,720.196,214.318,1,588.350,212.607,1,570.067,331.743,1,593.032,435.086,1,611.773,465.560,1,612.656,455.074,1
12,0.576190,1,720.424,214.428,1,588.444,212.607,1,570.125,331.839,1,593.151,435.147,1,611.789,465.586,1,612.670,455.097,1
13,0.610084,1,720.687,214.500,1,588.539,212.607,1,570.164,331.917,1,593.223,435.169,1,611.792,465.591,1,612.672,455.103,1
14,0.677871,1,721.008,214.568,1,588.691,212.606,1,570.180,332.022,1,593.311,435.247,1,611.822,465.621,1,612.694,455.127,1
15,0.711765,1,721.303,214.654,1,588.840,212.603,1,570.184,332.144,1,593.431,435.492,1,611.872,465.755,1,612.736,455.253,1
16,0.779552,1,721.552,214.731,1,588.992,212.599,1,570.189,332.311,1,593.483,435.692,1,611.897,465.833,1,612.750,455.342,1
17,0.813445,1,721.800,214.899,1,589.082,212.594,1,570.193,332.388,1,593.511,435.786,1,611.910,465.871,1,612.756,455.394,1
18,0.881232,1,722.126,215.060,1,589.172,212.592,1,570.245,332.476,1,593.554,435.954,1,611.922,465.921,1,612.765,455.461,1
19,0.915126,1,722.309,215.162,1,589.283,212.600,1,570.365,332.775,1,593.800,436.545,1,612.058,466.100,1,612.887,455.682,1
20,0.982913,1,722.324,215.214,1,589.322,212.603,1,570.468,333.017,1,594.125,437.191,1,612.179,466.460,1,613.039,456.053,1
21,1.016807,1,722.333,215.256,1,589.339,212.554,1,570.559,333.019,1,594.390,437.490,1,612.258,466.751,1,613.162,456.357,1
22,1.050700,1,722.406,215.302,1,589.347,212.546,1,570.704,333.036,1,594.636,437.806,1,612.339,467.022,1,613.275,456.633,1
23,1.118487,1,722.566,215.356,1,589.354,212.555,1,571.069,333.243,1,594.957,438.444,1,612.544,467.355,1,613.479,456.986,1
24,1.152381,1,722.677,215.379,1,589.359,212.565,1,571.471,333.368,1,595.224,438.808,1,612.766,467.613,1,613.689,457.238,1
25,1.220168,1,722.709,215.391,1,589.389,212.609,1,572.388,333.812,1,595.728,439.238,1,613.296,467.963,1,614.208,457.559,1
26,1.254062,1,722.730,215.402,1,589.399,212.686,1,573.164,334.444,1,596.170,439.616,1,613.771,468.116,1,614.640,457.697,1
27,1.321849,1,722.779,215.410,1,589.501,212.735,1,573.638,334.809,1,596.694,439.625,1,614.403,468.116,1,615.215,457.698,1
28,1.355742,1,722.796,215.416,1,589.562,212.793,1,573.912,335.109,1,597.108,439.633,1,614.878,468.117,1,615.647,457.701,1
29,1.423529,1,722.803,215.486,1,589.670,212.800,1,574.052,335.140,1,597.427,439.630,1,615.177,468.086,1,615.891,457.692,1
30,1.457423,1,722.804,215.546,1,589.750,212.810,1,574.050,335.111,1,597.674,439.478,1,615.520,467.877,1,616.176,457.570,1
31,1.525210,1,722.805,215.601,1,589.958,212.805,1,573.985,334.576,1,597.732,437.575,1,615.682,466.775,1,616.362,456.784,1
32,1.559104,1,722.807,215.617,1,590.130,212.788,1,573.844,334.332,1,597.797,436.843,1,615.866,466.200,1,616.558,456.371,1
33,1.626891,1,722.810,215.638,1,590.301,212.809,1,573.411,334.126,1,597.795,436.452,1,615.888,465.934,1,616.588,456.155,1
34,1.660784,1,722.806,215.649,1,590.490,212.840,1,572.867,333.950,1,597.699,436.081,1,615.887,465.665,1,616.586,455.909,1
35,1.728571,1,722.807,215.662,1,590.521,212.944,1,571.784,333.926,1,596.845,435.652,1,615.148,464.192,1,615.744,454.758,1
36,1.762465,1,722.806,215.695,1,590.600,212.959,1,570.441,333.132,1,595.318,434.589,1,614.189,462.173,1,614.759,453.198,1
