frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,829.405,324.631,1,615.917,313.714,1,575.389,485.293,1,616.644,328.795,1,622.838,277.255,1,624.997,285.813,1
2,0.068967,1,831.822,325.795,1,615.825,315.353,1,572.899,489.868,1,617.704,329.053,1,623.035,277.055,1,625.466,286.196,1
3,0.103451,1,832.931,325.829,1,615.490,317.321,1,571.565,490.819,1,617.712,330.507,1,622.878,277.125,1,625.285,287.569,1
4,0.172419,1,832.990,325.768,1,614.956,318.090,1,571.338,492.675,1,617.605,331.826,1,622.381,277.598,1,624.814,289.068,1
5,0.206902,1,833.768,325.866,1,614.229,319.977,1,570.649,495.693,1,617.244,333.720,1,621.212,278.268,1,623.938,290.339,1
6,0.275870,1,834.267,326.100,1,613.514,320.410,1,570.698,501.887,1,617.225,337.186,1,621.155,281.068,1,623.850,293.324,1
7,0.310353,1,836.032,326.922,1,613.215,322.352,1,571.131,507.541,1,617.752,337.545,1,621.480,282.566,1,624.319,294.770,1
8,0.379321,1,836.845,328.516,1,613.234,325.509,1,571.370,514.099,1,618.579,341.117,1,621.634,285.648,1,624.495,297.704,1
9,0.413805,1,837.020,328.494,1,614.020,325.176,1,572.192,512.553,1,621.442,341.796,1,623.500,287.285,1,626.295,299.340,1
10,0.482772,1,837.045,328.428,1,615.338,326.164,1,572.737,511.807,1,626.501,341.493,1,632.701,287.206,1,633.667,298.971,1
11,0.517256,1,836.868,328.125,1,616.561,326.005,1,573.776,510.828,1,635.051,339.402,1,643.879,284.827,1,643.778,297.860,1
12,0.551739,1,835.851,327.603,1,616.923,325.610,1,576.432,510.604,1,643.492,337.577,1,654.251,282.498,1,653.217,296.437,1
13,0.620707,1,835.634,326.523,1,619.303,324.388,1,584.694,506.087,1,657.513,334.276,1,670.330,277.493,1,668.475,292.577,1
14,0.655191,1,835.363,325.817,1,619.445,324.308,1,591.568,500.785,1,664.934,331.004,1,680.352,272.994,1,677.526,288.616,1
15,0.724158,1,835.630,325.785,1,617.955,324.359,1,600.658,500.110,1,678.267,329.234,1,694.135,272.247,1,688.483,286.539,1
16,0.758642,1,836.645,325.808,1,617.387,324.862,1,603.960,497.984,1,688.026,327.584,1,705.701,272.607,1,699.504,286.311,1
17,0.827609,1,834.453,323.534,1,613.395,324.832,1,612.814,496.447,1,696.793,324.780,1,716.462,272.781,1,708.461,285.110,1
18,0.862093,1,829.596,321.448,1,608.714,324.800,1,616.792,493.076,1,700.916,322.345,1,717.351,271.444,1,710.370,283.206,1
19,0.931060,1,823.674,319.708,1,606.818,320.893,1,615.778,489.476,1,711.204,322.792,1,737.087,271.936,1,728.875,283.497,1
20,0.965544,1,815.033,319.825,1,605.775,320.613,1,615.118,484.475,1,721.103,321.851,1,746.828,272.110,1,739.698,283.683,1
21,1.000028,1,813.394,319.902,1,604.923,320.680,1,616.833,481.202,1,732.160,321.673,1,764.130,272.181,1,754.617,283.823,1
22,1.068995,1,812.401,319.940,1,605.038,320.694,1,620.549,479.193,1,744.749,320.085,1,782.252,272.211,1,768.064,283.581,1
23,1.103479,1,807.371,319.472,1,604.961,320.874,1,624.987,478.623,1,748.200,319.091,1,784.386,272.311,1,770.325,283.372,1
24,1.172446,1,801.442,316.017,1,603.677,320.800,1,630.060,477.929,1,754.810,318.200,1,793.444,273.007,1,780.088,283.429,1
25,1.206930,1,796.262,312.727,1,602.999,320.991,1,633.486,477.317,1,758.706,316.909,1,797.553,273.057,1,784.194,283.444,1
26,1.275897,1,797.352,314.432,1,601.617,323.989,1,637.727,477.886,1,760.536,316.804,1,799.564,273.119,1,785.361,283.790,1
27,1.310381,1,796.509,316.785,1,601.250,326.731,1,638.786,477.768,1,763.875,316.386,1,803.089,273.147,1,790.112,283.843,1
28,1.379349,1,791.842,316.855,1,600.670,329.362,1,641.073,475.521,1,770.380,314.952,1,808.659,273.213,1,795.251,283.843,1
29,1.413832,1,788.685,316.753,1,600.507,330.430,1,642.065,473.073,1,773.373,314.224,1,811.861,273.646,1,797.294,283.923,1
30,1.482800,1,790.294,317.110,1,600.305,331.070,1,642.580,473.393,1,775.336,314.147,1,814.975,273.694,1,800.356,283.834,1
