frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
45,2.212188,1,779.497,393.041,1,620.027,374.528,1,550.420,485.539,1,481.633,419.045,1,449.849,394.562,1,467.210,400.213,1
46,2.279224,1,779.579,393.039,1,620.034,374.656,1,550.476,485.623,1,481.633,418.964,1,449.871,394.550,1,467.235,400.217,1
47,2.312742,1,779.613,393.036,1,620.032,374.794,1,550.503,485.653,1,481.611,418.722,1,449.875,394.477,1,467.237,400.183,1
48,2.379778,1,779.705,392.987,1,620.037,374.870,1,550.506,485.653,1,481.554,418.346,1,449.876,394.366,1,467.238,400.093,1
49,2.413296,1,779.874,392.952,1,620.098,374.871,1,550.509,485.588,1,481.514,418.034,1,449.876,394.243,1,467.234,399.969,1
50,2.480332,1,780.141,392.932,1,620.155,374.873,1,550.509,485.458,1,481.453,417.744,1,449.873,394.115,1,467.225,399.852,1
51,2.513850,1,780.410,392.927,1,620.250,374.879,1,550.506,485.207,1,481.422,417.523,1,449.871,394.031,1,467.224,399.775,1
52,2.580886,1,780.768,392.923,1,620.332,374.878,1,550.486,485.075,1,481.368,417.276,1,449.835,393.864,1,467.209,399.629,1
53,2.614404,1,781.043,392.919,1,620.359,374.879,1,550.472,484.990,1,481.355,417.149,1,449.822,393.761,1,467.205,399.533,1
54,2.681440,1,781.283,392.920,1,620.395,374.872,1,550.462,484.989,1,481.352,417.122,1,449.822,393.693,1,467.215,399.469,1
55,2.714958,1,781.563,392.890,1,620.428,374.848,1,550.438,485.021,1,481.371,417.119,1,449.836,393.661,1,467.249,399.422,1
56,2.781994,1,781.655,392.887,1,620.443,374.798,1,550.404,485.100,1,481.498,417.192,1,449.996,393.676,1,467.448,399.418,1
57,2.815512,1,781.696,392.854,1,620.453,374.704,1,550.381,485.122,1,481.614,417.254,1,450.150,393.702,1,467.652,399.416,1
58,2.882548,1,781.896,392.850,1,620.577,374.627,1,550.341,485.149,1,481.706,417.263,1,450.227,393.707,1,467.822,399.412,1
59,2.916066,1,782.180,392.854,1,620.728,374.530,1,550.299,485.212,1,481.788,417.378,1,450.325,393.745,1,468.008,399.430,1
60,2.983102,1,782.864,392.928,1,621.060,374.259,1,550.334,485.214,1,482.051,417.493,1,450.670,393.775,1,468.397,399.432,1
61,3.016620,1,783.193,392.934,1,621.322,373.576,1,550.505,485.141,1,482.343,417.547,1,451.144,393.782,1,468.849,399.430,1
62,3.050139,1,783.445,392.942,1,621.497,373.389,1,550.556,485.141,1,482.535,417.711,1,451.460,393.797,1,469.119,399.433,1
63,3.117175,1,783.781,392.998,1,621.787,372.946,1,550.937,484.944,1,482.846,417.703,1,451.866,393.792,1,469.464,399.384,1
64,3.150693,1,784.383,392.998,1,622.023,372.702,1,551.165,484.821,1,483.109,417.704,1,452.175,393.791,1,469.726,399.351,1
65,3.217729,1,784.517,392.982,1,622.190,372.448,1,551.370,484.674,1,483.454,417.664,1,452.502,393.754,1,469.986,399.263,1
66,3.251247,1,784.600,392.964,1,622.335,372.336,1,551.608,484.595,1,483.855,417.570,1,452.806,393.697,1,470.248,399.141,1
67,3.318283,1,784.584,392.895,1,622.529,371.833,1,552.005,484.326,1,484.084,416.968,1,452.990,393.305,1,470.408,398.768,1
68,3.351801,1,784.550,392.655,1,622.725,371.371,1,552.337,483.882,1,484.179,416.387,1,453.006,392.867,1,470.440,398.350,1
69,3.418837,1,784.545,392.448,1,623.002,370.737,1,552.631,483.311,1,484.304,415.544,1,453.029,392.428,1,470.477,397.866,1
70,3.452355,1,784.544,392.426,1,623.297,370.424,1,552.776,482.884,1,484.393,414.845,1,453.071,391.955,1,470.558,397.420,1
71,3.519391,1,784.641,392.349,1,623.650,370.015,1,552.908,482.609,1,484.444,414.400,1,453.133,391.515,1,470.614,397.008,1
72,3.552909,1,784.641,392.194,1,624.071,369.471,1,553.156,482.079,1,484.585,414.089,1,453.265,391.253,1,470.765,396.705,1
73,3.619945,1,784.654,392.092,1,624.264,368.982,1,553.229,481.785,1,484.731,413.751,1,453.390,390.971,1,470.866,396.377,1
74,3.653463,1,784.627,391.820,1,624.423,368.807,1,553.532,481.485,1,484.933,413.548,1,453.570,390.691,1,471.019,396.076,1
75,3.720499,1,784.736,391.744,1,624.599,368.723,1,553.771,481.398,1,485.100,413.402,1,453.710,390.348,1,471.103,395.771,1
76,3.754017,1,784.959,391.738,1,624.710,368.493,1,553.811,481.311,1,485.178,412.891,1,453.804,389.875,1,471.153,395.303,1
77,3.821053,1,785.126,391.377,1,624.986,368.090,1,553.841,481.045,1,485.305,412.512,1,453.989,389.335,1,471.300,394.813,1
78,3.854571,1,785.147,390.902,1,625.273,367.805,1,553.849,480.668,1,485.313,412.194,1,454.021,388.914,1,471.309,394.423,1
79,3.921607,1,785.154,390.411,1,625.351,367.587,1,553.888,480.328,1,485.322,411.975,1,454.049,388.644,1,471.316,394.136,1
80,3.955125,1,785.090,389.725,1,625.394,367.493,1,553.948,480.043,1,485.330,411.791,1,454.057,388.478,1,471.323,393.953,1
81,4.022161,1,785.098,389.335,1,625.334,367.511,1,553.953,480.036,1,485.217,411.589,1,453.938,388.022,1,471.225,393.622,1
82,4.055679,1,785.103,389.330,1,625.312,367.639,1,553.957,480.037,1,485.131,411.414,1,453.774,387.631,1,471.113,393.369,1
83,4.122715,1,785.104,389.330,1,625.305,367.705,1,553.961,480.037,1,485.123,411.277,1,453.717,387.334,1,471.075,393.138,1
84,4.156233,1,785.105,389.325,1,625.307,367.730,1,553.965,480.028,1,485.120,411.157,1,453.674,387.127,1,471.054,392.972,1
85,4.223269,1,785.121,389.258,1,625.307,367.801,1,553.959,480.043,1,485.114,411.044,1,453.653,386.889,1,471.035,392.813,1
86,4.256787,1,785.164,389.218,1,625.294,367.887,1,553.961,480.132,1,485.123,411.010,1,453.686,386.786,1,471.051,392.749,1
87,4.323823,1,785.188,389.212,1,625.252,368.114,1,553.954,480.210,1,485.133,410.994,1,453.766,386.750,1,471.084,392.729,1
88,4.357341,1,785.190,389.206,1,625.185,368.371,1,553.949,480.260,1,485.142,410.973,1,453.833,386.730,1,471.112,392.714,1
