frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,-1,0,1,1,0.808011,-0.219070,6.628140,-0.136668,-0.087480,6.327689,-0.546938,-0.717565,6.218905,-0.850054,-0.329428,5.794667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.097961,30.492708,0.000000,0.000000,1.0,1,1,0,1,56.097961,30.492708,-0.944677,0.131590,-0.300451,0.125400,0.991304,0.039883,0.303086,0.000000,-0.952963,1
2,0.067036,-1,0,1,1,0.807127,-0.218205,6.626887,-0.135990,-0.087354,6.323888,-0.541342,-0.712996,6.208577,-0.846518,-0.328342,5.783514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.097961,30.492708,0.000000,0.000000,1.0,2,1,0,1,56.223999,30.144663,-0.944448,0.131409,-0.301246,0.125195,0.991328,0.039933,0.303881,0.000000,-0.952710,1
3,0.100554,-1,0,1,1,0.807395,-0.217676,6.629649,-0.135788,-0.087430,6.326331,-0.539208,-0.711639,6.207900,-0.846408,-0.328500,5.782793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.097961,30.369091,0.000000,0.000000,1.0,3,1,0,1,56.402206,29.985458,-0.944358,0.131245,-0.301599,0.125195,0.991350,0.039392,0.304161,-0.000558,-0.952621,1
4,0.167590,-1,0,1,1,0.807944,-0.214729,6.638480,-0.135380,-0.087664,6.334220,-0.533168,-0.706862,6.201149,-0.842688,-0.328058,5.774818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.097961,30.043293,0.000000,0.000000,1.0,4,1,0,1,56.505081,29.607899,-0.944257,0.130080,-0.302419,0.124139,0.991503,0.038873,0.304906,-0.000836,-0.952382,1
5,0.201108,-1,0,1,1,0.808330,-0.213178,6.643916,-0.135306,-0.087806,6.339525,-0.530726,-0.705346,6.199800,-0.841730,-0.328135,5.773133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.222168,29.905418,0.000000,0.000000,1.0,5,1,0,1,56.607651,29.477533,-0.944249,0.129365,-0.302752,0.123610,0.991596,0.038182,0.305147,-0.001369,-0.952304,1
6,0.268144,-1,0,1,1,0.808748,-0.208517,6.655363,-0.135326,-0.087905,6.350306,-0.525293,-0.702322,6.195842,-0.839457,-0.327455,5.768951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.478729,29.651255,0.000000,0.000000,1.0,6,1,0,1,56.821609,29.311592,-0.944357,0.126893,-0.303459,0.121312,0.991915,0.037254,0.305733,-0.001633,-0.952116,1
7,0.301662,-1,0,1,1,0.808819,-0.206500,6.660284,-0.135341,-0.087831,6.354802,-0.522744,-0.701000,6.193234,-0.838363,-0.326858,5.766413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.478729,29.651255,0.000000,0.000000,1.0,7,1,0,1,56.942459,29.284599,-0.944416,0.125635,-0.303800,0.120257,0.992074,0.036429,0.305969,-0.002130,-0.952039,1
8,0.368698,-1,0,1,1,0.808604,-0.201391,6.669346,-0.135305,-0.086822,6.362330,-0.516763,-0.698581,6.187061,-0.836429,-0.324976,5.761344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.841446,29.651255,0.000000,0.000000,1.0,8,1,0,1,57.326172,29.294916,-0.944506,0.122512,-0.304792,0.117327,0.992464,0.035344,0.306825,-0.002378,-0.951763,1
9,0.402216,-1,0,1,1,0.808441,-0.199330,6.673289,-0.135269,-0.086115,6.365470,-0.514261,-0.697573,6.184282,-0.835791,-0.323994,5.759282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.009445,29.651255,0.000000,0.000000,1.0,9,1,0,1,57.530838,29.332935,-0.944524,0.121094,-0.305305,0.116105,0.992637,0.034519,0.307237,-0.002844,-0.951629,1
10,0.469252,-1,0,1,1,0.807838,-0.194552,6.680634,-0.135249,-0.084374,6.370727,-0.509756,-0.695698,6.179010,-0.834851,-0.321618,5.755874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.415527,29.651255,0.000000,0.000000,1.0,10,1,0,1,57.958221,29.458311,-0.944452,0.118025,-0.306726,0.113212,0.993006,0.033503,0.308535,-0.003083,-0.951208,1
11,0.502770,-1,0,1,1,0.807750,-0.192490,6.683583,-0.135260,-0.083670,6.372919,-0.508012,-0.694845,6.176464,-0.834439,-0.320552,5.754188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.592453,29.651255,0.000000,0.000000,1.0,11,1,0,1,58.141495,29.535608,-0.944409,0.116625,-0.307393,0.111997,0.993170,0.032720,0.309109,-0.003526,-0.951020,1
