frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
14,0.666667,-1,0,1,1,0.431638,-0.310058,7.104153,-0.573816,-0.257315,7.162777,-0.554780,-0.923519,6.786314,-0.401941,-0.848608,6.159243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.166626,7.059377,0.000000,0.000000,0.0,14,1,0,1,-16.328888,7.367993,-0.997585,0.046752,0.051357,0.046702,0.998907,-0.002169,-0.051403,0.000235,-0.998678,1
15,0.700000,-1,0,1,1,0.431981,-0.310246,7.093901,-0.573475,-0.256888,7.153189,-0.548405,-0.926157,6.783532,-0.397813,-0.852684,6.156111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.166626,7.059377,0.000000,0.000000,0.0,15,1,0,1,-16.192200,7.250902,-0.997481,0.047696,0.052497,0.047645,0.998862,-0.002234,-0.052544,0.000273,-0.998619,1
16,0.766667,-1,0,1,1,0.432993,-0.310812,7.076654,-0.573070,-0.256414,7.137119,-0.533580,-0.926428,6.775908,-0.394396,-0.858200,6.146847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15.797897,7.059377,0.000000,0.000000,0.0,16,1,0,1,-15.301559,6.783857,-0.997283,0.049454,0.054598,0.049396,0.998776,-0.002402,-0.054650,0.000301,-0.998506,1
17,0.800000,-1,0,1,1,0.433329,-0.310979,7.068446,-0.572787,-0.256206,7.129409,-0.527290,-0.924226,6.769794,-0.392928,-0.859152,6.139891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15.586502,6.923424,0.000000,0.000000,0.0,17,1,0,1,-14.926285,6.498821,-0.997197,0.050192,0.055488,0.050133,0.998740,-0.002447,-0.055541,0.000342,-0.998456,1
18,0.866667,-1,0,1,1,0.434086,-0.311207,7.054655,-0.572578,-0.256039,7.116487,-0.516200,-0.918380,6.757016,-0.389999,-0.860398,6.125425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15.038940,6.469758,0.000000,0.000000,0.0,18,1,0,1,-14.301910,5.859099,-0.997041,0.051447,0.057112,0.051384,0.998676,-0.002572,-0.057168,0.000370,-0.998365,1
19,0.900000,-1,0,1,1,0.434253,-0.311110,7.047899,-0.572468,-0.255962,7.110091,-0.512074,-0.916154,6.750474,-0.388677,-0.860759,6.118157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.809525,6.264446,0.000000,0.000000,0.0,19,1,0,1,-14.093018,5.623228,-0.996977,0.051930,0.057796,0.051867,0.998651,-0.002594,-0.057852,0.000412,-0.998325,1
20,0.966667,-1,0,1,1,0.434595,-0.310147,7.036571,-0.572901,-0.255993,7.099371,-0.505705,-0.910579,6.737239,-0.385920,-0.861296,6.103624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.401306,5.755917,0.000000,0.000000,0.0,20,1,0,1,-13.851822,5.071411,-0.996881,0.052395,0.059022,0.052329,0.998626,-0.002658,-0.059081,0.000439,-0.998253,1
21,1.000000,-1,0,1,1,0.434497,-0.309390,7.029852,-0.572896,-0.255882,7.092893,-0.503208,-0.908318,6.729479,-0.384607,-0.861362,6.095312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.250443,5.538293,0.000000,0.000000,0.0,21,1,0,1,-13.779251,4.858618,-0.996846,0.052478,0.059536,0.052414,0.998622,-0.002649,-0.059593,0.000480,-0.998223,1
22,1.066667,-1,0,1,1,0.434075,-0.307111,7.014832,-0.572939,-0.255556,7.078253,-0.499579,-0.905963,6.713447,-0.382270,-0.861780,6.078391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,5.138018,0.000000,0.000000,0.0,22,1,0,1,-13.719406,4.599226,-0.996812,0.052067,0.060454,0.052002,0.998643,-0.002647,-0.060509,0.000505,-0.998168,1
23,1.100000,-1,0,1,1,0.434071,-0.306165,7.008549,-0.573124,-0.255466,7.072142,-0.498524,-0.905747,6.707195,-0.381541,-0.862225,6.071784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,4.991169,0.000000,0.000000,0.0,23,1,0,1,-13.711365,4.532538,-0.996804,0.051777,0.060834,0.051713,0.998659,-0.002612,-0.060888,0.000543,-0.998145,1
