frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
45,2.205432,1,796.763,452.200,1,639.529,446.370,1,575.346,550.909,1,503.820,486.344,1,469.891,472.502,1,485.443,475.521,1
46,2.272263,1,796.761,452.333,1,639.523,446.247,1,575.353,550.795,1,503.833,486.335,1,469.942,472.489,1,485.486,475.503,1
47,2.305679,1,796.759,452.431,1,639.514,446.185,1,575.354,550.665,1,503.847,486.319,1,470.096,472.454,1,485.603,475.472,1
48,2.372510,1,796.823,452.737,1,639.498,446.143,1,575.346,550.649,1,503.987,486.318,1,470.443,472.386,1,485.865,475.436,1
49,2.405926,1,796.963,452.983,1,639.501,446.080,1,575.352,550.648,1,504.411,486.358,1,471.119,472.331,1,486.584,475.406,1
50,2.472757,1,797.344,453.011,1,639.505,446.066,1,575.454,550.632,1,504.841,486.377,1,471.524,472.233,1,487.232,475.351,1
51,2.506173,1,797.590,453.040,1,639.502,445.985,1,575.543,550.609,1,505.380,486.385,1,472.302,472.111,1,488.137,475.311,1
52,2.573004,1,797.643,453.039,1,639.498,445.859,1,575.648,550.517,1,505.863,486.390,1,472.920,472.003,1,488.930,475.282,1
53,2.606420,1,797.619,452.986,1,639.493,445.684,1,575.843,550.274,1,506.270,486.393,1,473.315,471.923,1,489.470,475.270,1
54,2.673251,1,797.575,452.773,1,639.511,445.465,1,576.144,549.872,1,506.567,486.393,1,473.506,471.758,1,489.757,475.185,1
55,2.706667,1,797.638,452.614,1,639.509,445.362,1,576.146,549.608,1,506.673,486.351,1,473.575,471.589,1,489.869,475.055,1
56,2.773498,1,797.665,452.554,1,639.492,445.127,1,576.127,549.323,1,506.800,486.257,1,473.710,471.349,1,489.992,474.830,1
57,2.806914,1,797.623,452.500,1,639.492,444.757,1,576.113,549.141,1,507.026,486.060,1,473.899,470.899,1,490.214,474.406,1
58,2.873745,1,797.602,452.426,1,639.491,444.411,1,575.956,548.996,1,507.161,485.784,1,474.019,470.566,1,490.333,474.101,1
59,2.907160,1,797.541,452.045,1,639.483,444.181,1,575.725,548.895,1,507.210,485.596,1,474.042,470.411,1,490.342,473.930,1
60,2.973992,1,797.528,451.808,1,639.476,444.151,1,575.346,548.885,1,507.211,485.203,1,474.040,470.067,1,490.303,473.506,1
61,3.007407,1,797.358,451.252,1,639.432,444.105,1,574.944,548.883,1,507.148,484.730,1,474.009,469.542,1,490.180,472.910,1
62,3.074239,1,797.228,450.735,1,639.356,444.054,1,574.688,548.880,1,507.122,484.384,1,474.005,469.128,1,490.135,472.439,1
63,3.107654,1,796.944,450.351,1,639.300,443.978,1,574.471,548.875,1,507.023,484.060,1,473.910,468.853,1,489.948,472.137,1
64,3.174486,1,796.374,450.049,1,639.199,443.896,1,574.351,548.755,1,506.746,483.442,1,473.756,468.521,1,489.502,471.702,1
65,3.207901,1,796.118,449.893,1,639.157,443.829,1,574.202,548.654,1,506.513,483.007,1,473.637,468.328,1,489.165,471.431,1
66,3.274733,1,796.048,449.472,1,639.122,443.788,1,574.092,548.389,1,506.295,482.492,1,473.578,468.087,1,488.939,471.117,1
67,3.308148,1,796.050,449.348,1,639.081,443.671,1,573.991,548.293,1,506.239,482.222,1,473.574,467.821,1,488.932,470.870,1
68,3.374979,1,796.050,449.269,1,639.076,443.491,1,573.982,548.156,1,506.238,482.089,1,473.585,467.502,1,488.961,470.640,1
69,3.408395,1,796.028,449.243,1,639.070,443.297,1,573.970,548.084,1,506.226,481.994,1,473.582,467.273,1,488.959,470.451,1
70,3.475226,1,796.002,449.171,1,639.035,443.212,1,573.950,548.074,1,506.226,481.948,1,473.580,467.132,1,488.966,470.346,1
71,3.508642,1,795.979,449.132,1,638.987,443.195,1,573.904,548.068,1,506.243,481.943,1,473.595,467.098,1,488.998,470.294,1
72,3.575473,1,795.949,449.092,1,638.961,443.187,1,573.898,547.964,1,506.236,481.888,1,473.576,467.030,1,488.990,470.232,1
73,3.608889,1,795.917,449.076,1,638.954,443.168,1,573.891,547.888,1,506.236,481.860,1,473.574,467.023,1,488.993,470.200,1
74,3.675720,1,795.876,449.043,1,638.948,443.076,1,573.886,547.771,1,506.232,481.809,1,473.564,466.996,1,488.991,470.175,1
75,3.709136,1,795.873,449.015,1,638.948,443.067,1,573.882,547.601,1,506.227,481.779,1,473.558,466.992,1,488.990,470.173,1
76,3.775967,1,795.884,449.011,1,638.944,443.023,1,573.867,547.388,1,506.221,481.686,1,473.554,466.970,1,488.987,470.152,1
77,3.809383,1,795.904,449.016,1,638.941,442.961,1,573.846,547.261,1,506.267,481.634,1,473.554,466.959,1,489.054,470.145,1
78,3.876214,1,796.068,449.061,1,638.891,442.970,1,573.603,547.189,1,506.279,481.599,1,473.526,466.954,1,489.054,470.118,1
79,3.909630,1,796.407,449.111,1,638.879,443.012,1,573.475,547.158,1,506.311,481.590,1,473.522,466.944,1,489.076,470.103,1
80,3.976461,1,797.153,449.215,1,638.876,443.064,1,573.476,547.151,1,506.350,481.535,1,473.520,466.937,1,489.103,470.069,1
81,4.009877,1,797.476,449.300,1,638.872,443.061,1,573.495,547.144,1,506.422,481.539,1,473.470,466.962,1,489.119,470.073,1
82,4.076708,1,797.539,449.302,1,638.947,443.060,1,573.609,547.141,1,506.499,481.566,1,473.421,467.017,1,489.138,470.115,1
83,4.110123,1,797.583,449.304,1,639.077,443.057,1,573.851,547.217,1,506.686,481.711,1,473.418,467.088,1,489.270,470.202,1
84,4.176955,1,797.976,449.234,1,639.502,442.991,1,574.454,547.250,1,506.989,481.759,1,473.538,467.088,1,489.703,470.206,1
85,4.210370,1,798.472,449.184,1,639.883,442.873,1,575.215,547.251,1,507.363,481.799,1,473.762,467.089,1,490.214,470.213,1
86,4.277202,1,798.697,449.077,1,640.375,442.740,1,575.819,547.252,1,507.997,481.804,1,474.088,467.090,1,490.798,470.214,1
87,4.310617,1,799.006,448.987,1,641.040,442.639,1,576.311,547.248,1,508.554,481.810,1,474.463,467.087,1,491.433,470.214,1
88,4.377449,1,799.202,448.924,1,641.458,442.644,1,576.625,547.228,1,509.074,481.806,1,474.798,467.074,1,492.037,470.213,1
89,4.410864,1,799.351,448.537,1,641.937,442.647,1,576.881,547.192,1,509.441,481.773,1,475.103,466.995,1,492.472,470.195,1
90,4.477695,1,799.712,448.517,1,642.553,442.631,1,577.065,547.173,1,509.813,481.753,1,475.534,466.889,1,492.998,470.165,1
91,4.511111,1,800.161,448.477,1,643.052,442.629,1,577.218,547.156,1,510.151,481.738,1,476.007,466.783,1,493.574,470.135,1
92,4.577942,1,800.760,448.445,1,643.503,442.647,1,577.510,547.125,1,510.623,481.738,1,476.641,466.765,1,494.317,470.129,1
93,4.611358,1,801.122,448.442,1,643.777,442.656,1,577.703,547.065,1,510.979,481.741,1,477.095,466.762,1,494.783,470.128,1
94,4.678189,1,801.377,448.422,1,643.954,442.678,1,577.726,547.061,1,511.303,481.742,1,477.516,466.740,1,495.178,470.111,1
95,4.711605,1,801.528,448.420,1,644.085,442.680,1,577.729,547.068,1,511.703,481.751,1,478.014,466.670,1,495.560,470.048,1
96,4.778436,1,801.524,448.565,1,644.162,442.645,1,577.799,547.077,1,512.131,481.783,1,478.333,466.659,1,495.822,470.030,1
97,4.811852,1,801.521,448.608,1,644.225,442.647,1,577.930,547.084,1,512.457,481.827,1,478.515,466.637,1,495.955,469.994,1
98,4.878683,1,801.513,448.657,1,644.228,442.685,1,578.075,547.082,1,512.635,481.828,1,478.580,466.552,1,495.968,469.877,1
99,4.912099,1,801.510,448.676,1,644.227,442.693,1,578.271,547.005,1,512.736,481.829,1,478.604,466.458,1,495.959,469.743,1
100,4.978930,1,801.507,448.763,1,644.192,442.750,1,578.312,546.980,1,512.998,481.831,1,478.979,466.299,1,496.152,469.577,1
101,5.012346,1,801.509,448.849,1,644.119,442.811,1,578.549,546.959,1,513.354,481.865,1,479.781,466.228,1,496.857,469.431,1
102,5.079177,1,801.503,448.914,1,644.042,442.841,1,578.730,546.922,1,513.595,481.878,1,480.444,466.196,1,497.419,469.359,1
103,5.112593,1,801.478,448.935,1,644.019,442.845,1,579.042,546.890,1,513.805,481.890,1,481.014,466.161,1,497.915,469.310,1
104,5.179424,1,801.451,448.937,1,644.038,442.842,1,579.289,546.825,1,513.944,481.892,1,481.296,466.130,1,498.197,469.272,1
105,5.212840,1,801.448,448.957,1,644.071,442.843,1,579.501,546.785,1,514.049,481.894,1,481.427,466.107,1,498.339,469.245,1
106,5.279671,1,801.498,448.971,1,644.100,442.850,1,579.577,546.774,1,514.113,481.891,1,481.502,466.058,1,498.415,469.191,1
107,5.313086,1,801.514,449.007,1,644.200,442.851,1,579.692,546.770,1,514.272,481.891,1,481.681,466.009,1,498.581,469.140,1
108,5.379918,1,801.535,449.063,1,644.284,442.847,1,579.777,546.792,1,514.594,481.883,1,482.471,465.861,1,499.126,469.026,1
109,5.413333,1,801.828,449.141,1,644.360,442.859,1,579.971,546.831,1,515.225,481.891,1,483.605,465.742,1,500.023,468.918,1
