frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
14,0.668033,1,1,1,1,1.064300,0.253656,11.397582,0.078078,0.313634,11.453505,-0.256187,-0.382228,11.514000,-0.625919,-0.094917,11.961563,-0.849522,0.060453,12.178113,-0.860523,-0.026750,12.208490,131.446472,21.616251,5.378479,-82.475754,0.0,14,1,1,1,132.831970,23.276648,-0.991340,0.073415,0.108883,0.072976,0.997302,-0.008015,-0.109178,0.000000,-0.994022,1
15,0.701434,1,1,1,1,1.065774,0.253846,11.397431,0.078202,0.312645,11.434082,-0.257012,-0.383770,11.484185,-0.622351,-0.095463,11.933433,-0.842826,0.057639,12.152424,-0.853416,-0.027691,12.182262,132.045319,22.087635,5.378479,-82.475754,0.0,15,1,1,1,133.911255,23.556408,-0.992644,0.071283,0.097865,0.070939,0.997456,-0.006994,-0.098114,0.000000,-0.995175,1
16,0.768238,1,1,1,1,1.067866,0.252875,11.392693,0.078878,0.311750,11.395859,-0.257956,-0.385439,11.428545,-0.613474,-0.099249,11.883126,-0.825048,0.050257,12.108363,-0.835007,-0.032069,12.137079,133.968475,22.788494,5.114380,-82.475754,0.0,16,1,1,1,136.550232,23.729366,-0.995154,0.067979,0.071048,0.067807,0.997687,-0.004841,-0.071213,0.000000,-0.997461,1
17,0.801639,1,1,1,1,1.068178,0.252081,11.388005,0.079132,0.311643,11.375894,-0.258222,-0.385678,11.401311,-0.609529,-0.101229,11.858736,-0.817584,0.047107,12.086809,-0.827439,-0.034241,12.115011,134.897278,23.012629,4.956863,-82.475754,0.0,17,1,1,1,137.791321,23.711006,-0.996064,0.066799,0.058267,0.066685,0.997766,-0.003901,-0.058398,0.000000,-0.998293,1
18,0.868443,1,1,1,1,1.067297,0.249317,11.369069,0.079496,0.311977,11.327290,-0.258153,-0.388329,11.340375,-0.601373,-0.105311,11.803173,-0.804483,0.042510,12.035795,-0.814397,-0.037010,12.063161,137.229553,23.342529,4.637054,-82.475754,0.0,18,1,1,1,140.360504,23.785408,-0.997385,0.065859,0.029777,0.065830,0.997829,-0.001965,-0.029842,0.000000,-0.999555,1
19,0.901844,1,1,1,1,1.066367,0.247953,11.357075,0.079691,0.312201,11.300984,-0.257863,-0.389202,11.308909,-0.597798,-0.106793,11.774188,-0.799412,0.041353,12.008524,-0.809378,-0.037347,12.035587,138.270538,23.342529,4.637054,-82.475754,0.0,19,1,1,1,141.514191,23.798935,-0.997700,0.065739,0.016494,0.065730,0.997837,-0.001087,-0.016530,0.000000,-0.999863,1
20,0.968648,1,1,1,1,1.064768,0.245336,11.328894,0.080192,0.313374,11.247443,-0.257390,-0.391470,11.246623,-0.590676,-0.108223,11.716349,-0.790293,0.043251,11.952662,-0.800601,-0.033313,11.979448,140.651855,23.611156,4.637054,-82.475754,0.0,20,1,1,1,143.848633,23.971775,-0.997710,0.066648,-0.011557,0.066643,0.997777,0.000772,0.011583,-0.000000,-0.999933,1
21,1.002049,1,1,1,1,1.063425,0.244110,11.310795,0.080237,0.313640,11.217071,-0.257466,-0.392295,11.212570,-0.588243,-0.107474,11.683902,-0.789325,0.046086,11.919920,-0.799810,-0.029386,11.946695,141.669067,23.739523,4.637054,-82.475754,0.0,21,1,1,1,144.838531,24.139494,-0.997440,0.067228,-0.024350,0.067208,0.997738,0.001641,0.024405,-0.000000,-0.999702,1
22,1.068852,1,1,1,1,1.060749,0.241753,11.266521,0.079938,0.313974,11.151033,-0.259740,-0.395433,11.140161,-0.587636,-0.095680,11.609926,-0.798082,0.067494,11.839220,-0.807564,-0.004974,11.867816,143.659912,24.481133,5.544281,-82.200256,0.0,22,1,1,1,146.332642,25.476727,-0.996339,0.068909,-0.050597,0.068820,0.997623,0.003495,0.050718,0.000000,-0.998713,1
23,1.102254,1,1,1,1,1.059173,0.240806,11.242272,0.079690,0.313802,11.116448,-0.260675,-0.396987,11.102869,-0.588177,-0.087191,11.570064,-0.803935,0.082112,11.794007,-0.812257,0.010630,11.824568,144.423279,24.938585,6.086716,-82.018555,0.0,23,1,1,1,146.801666,26.363897,-0.995617,0.069675,-0.062383,0.069539,0.997570,0.004357,0.062535,0.000000,-0.998043,1
24,1.169057,1,1,1,1,1.055968,0.239459,11.188596,0.079145,0.313126,11.043355,-0.262931,-0.401789,11.025032,-0.590892,-0.061370,11.480317,-0.817358,0.123795,11.688106,-0.821612,0.052852,11.726594,145.603027,26.713366,7.649231,-81.102081,0.0,24,1,1,1,147.186859,29.095972,-0.993725,0.071066,-0.086378,0.070799,0.997472,0.006154,0.086597,0.000000,-0.996243,1
25,1.202459,1,1,1,1,1.054005,0.238921,11.159964,0.078936,0.312596,11.004821,-0.263598,-0.403444,10.984495,-0.591520,-0.049503,11.433308,-0.821828,0.142516,11.632922,-0.824289,0.071462,11.675791,146.016418,27.592842,8.338501,-80.545158,0.0,25,1,1,1,147.304382,30.333084,-0.992683,0.071604,-0.097226,0.071263,0.997433,0.006980,0.097476,-0.000000,-0.995238,1
26,1.269262,1,1,1,1,1.050562,0.238374,11.101133,0.078991,0.311720,10.927007,-0.266337,-0.407100,10.903148,-0.592056,-0.024217,11.336247,-0.827024,0.179769,11.520248,-0.825181,0.107994,11.572907,146.665039,29.938866,9.720032,-78.733170,0.0,26,1,1,1,147.535767,33.088356,-0.990176,0.072361,-0.119650,0.071838,0.997379,0.008681,0.119964,-0.000000,-0.992778,1
27,1.302664,1,1,1,1,1.048347,0.238035,11.069752,0.079150,0.311000,10.885499,-0.267791,-0.408027,10.860138,-0.591365,-0.013719,11.286196,-0.827483,0.195271,11.463100,-0.823840,0.122883,11.520579,146.926331,30.985363,10.271652,-77.768585,0.0,27,1,1,1,147.740479,34.245991,-0.988862,0.072597,-0.129933,0.071978,0.997361,0.009458,0.130277,0.000000,-0.991478,1
28,1.369467,1,1,1,1,1.044083,0.237402,11.004804,0.080708,0.309439,10.798915,-0.272228,-0.408939,10.770911,-0.588920,0.005371,11.184045,-0.823753,0.224466,11.348551,-0.816831,0.148680,11.416199,147.617004,33.307568,11.180252,-75.337646,0.0,28,1,1,1,148.544250,36.425079,-0.985650,0.072738,-0.152324,0.071885,0.997351,0.011109,0.152728,-0.000000,-0.988268,1
29,1.402869,1,1,1,1,1.041896,0.236979,10.972431,0.081581,0.308557,10.755754,-0.274000,-0.408792,10.726638,-0.587251,0.012556,11.134554,-0.819850,0.236127,11.294416,-0.811961,0.158325,11.366454,147.953400,34.269463,11.460236,-74.153786,0.0,29,1,1,1,149.001465,37.266499,-0.983990,0.072727,-0.162708,0.071752,0.997352,0.011865,0.163140,-0.000000,-0.986603,1
30,1.469672,1,1,1,1,1.038162,0.235990,10.909760,0.083840,0.307012,10.672084,-0.277809,-0.407659,10.641058,-0.583505,0.026278,11.039473,-0.806086,0.263768,11.189717,-0.798518,0.179145,11.272075,148.885620,36.226536,11.460236,-71.633881,0.0,30,1,1,1,150.137085,38.853867,-0.980041,0.072575,-0.185072,0.071315,0.997363,0.013467,0.185561,0.000000,-0.982633,1
31,1.503074,1,1,1,1,1.036139,0.235402,10.878897,0.084732,0.306217,10.631143,-0.279037,-0.406749,10.599329,-0.581389,0.031346,10.994081,-0.798298,0.274059,11.141534,-0.791195,0.186618,11.227732,149.328705,37.008961,11.263840,-70.487549,1.0,31,1,1,1,150.709320,39.446812,-0.978056,0.072485,-0.195325,0.071081,0.997370,0.014195,0.195840,-0.000000,-0.980636,1
32,1.569877,1,1,1,1,1.032804,0.234223,10.821130,0.086369,0.304966,10.554978,-0.280949,-0.404866,10.521842,-0.576755,0.039115,10.911057,-0.777682,0.288962,11.059403,-0.772641,0.196871,11.149285,150.486511,38.458607,10.146439,-68.335991,1.0,32,1,1,1,152.040833,40.404728,-0.973563,0.072325,-0.216664,0.070598,0.997381,0.015711,0.217233,-0.000000,-0.976120,1
33,1.603279,1,1,1,1,1.030642,0.233516,10.791329,0.086870,0.304223,10.516167,-0.281337,-0.403540,10.482501,-0.574268,0.042030,10.869852,-0.767638,0.294858,11.019281,-0.763967,0.201380,11.110276,151.023254,39.013241,9.536987,-67.414528,1.0,33,1,1,1,152.695709,40.741360,-0.971364,0.072255,-0.226341,0.070369,0.997386,0.016397,0.226934,0.000000,-0.973910,1
34,1.670082,1,1,1,1,1.027439,0.232194,10.738189,0.087679,0.303436,10.447358,-0.282393,-0.400798,10.412822,-0.569987,0.047509,10.797255,-0.746471,0.306084,10.950444,-0.746916,0.211432,11.042027,152.313995,40.004509,7.725983,-65.883286,1.0,34,1,1,1,154.046753,41.335270,-0.966590,0.072285,-0.245926,0.070053,0.997384,0.017823,0.246571,0.000000,-0.969125,1
35,1.703484,1,1,1,1,1.025583,0.231477,10.711901,0.087882,0.302939,10.413624,-0.282640,-0.399213,10.378747,-0.567889,0.049659,10.762351,-0.737264,0.310530,10.917462,-0.739557,0.215642,11.009062,152.891113,40.377007,6.890884,-65.270638,1.0,35,1,1,1,154.689270,41.537621,-0.964323,0.072324,-0.254659,0.069927,0.997381,0.018466,0.255327,0.000000,-0.966855,1
36,1.770287,1,1,1,1,1.022884,0.230204,10.666290,0.088202,0.302347,10.355215,-0.283296,-0.395813,10.319819,-0.564075,0.053224,10.702875,-0.718941,0.316967,10.863367,-0.724991,0.222378,10.953758,154.232117,40.993450,4.897247,-64.417168,1.0,36,1,1,1,156.032349,41.821011,-0.959590,0.072556,-0.271886,0.069808,0.997364,0.019779,0.272604,0.000000,-0.962126,1
