frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,1,1,1,1,0.854147,0.156832,4.983517,-0.099729,0.193623,4.685584,-0.258824,-0.507841,4.473129,-0.091983,0.123570,4.459072,-0.071047,0.350695,4.724546,-0.052649,0.305608,4.755406,-64.384010,77.077286,47.266373,-143.898819,0.0,1,1,1,1,-64.384010,77.077286,-0.953877,0.036791,-0.297934,0.035117,0.999323,0.010969,0.298136,-0.000000,-0.954524,1
2,0.068967,1,1,1,1,0.853220,0.155101,4.973976,-0.099315,0.191163,4.673893,-0.259354,-0.508612,4.459078,-0.090487,0.122569,4.445044,-0.069929,0.349854,4.710464,-0.051873,0.304567,4.741437,-64.384010,77.077286,47.266373,-143.898819,0.0,2,1,1,1,-64.481445,76.891327,-0.953671,0.036585,-0.298619,0.034914,0.999331,0.010932,0.298819,0.000000,-0.954310,1
3,0.103451,1,1,1,1,0.852912,0.154207,4.967969,-0.099202,0.189345,4.666975,-0.259857,-0.508989,4.450011,-0.089713,0.121602,4.436026,-0.069453,0.349018,4.701398,-0.051671,0.303131,4.732593,-64.384010,77.077286,47.266373,-143.898819,0.0,3,1,1,1,-64.602142,76.763222,-0.953549,0.036361,-0.299035,0.034741,0.999339,0.010732,0.299227,-0.000155,-0.954182,1
4,0.172419,1,1,1,1,0.852524,0.152382,4.953277,-0.099613,0.184165,4.651553,-0.261827,-0.512161,4.431104,-0.088314,0.118047,4.417358,-0.069425,0.346139,4.682468,-0.052891,0.296888,4.714934,-64.636620,76.784355,47.266373,-143.898819,0.0,4,1,1,1,-64.961868,76.407188,-0.953333,0.035032,-0.299881,0.033487,0.999386,0.010292,0.300058,-0.000231,-0.953921,1
5,0.206902,1,1,1,1,0.852160,0.151569,4.945145,-0.099989,0.181345,4.643087,-0.262615,-0.513978,4.420675,-0.087819,0.115874,4.407095,-0.069898,0.344259,4.672080,-0.054069,0.293160,4.705312,-64.770386,76.651718,47.266373,-143.898819,0.0,5,1,1,1,-65.172195,76.253296,-0.953245,0.034203,-0.300257,0.032732,0.999415,0.009927,0.300421,-0.000365,-0.953807,1
6,0.275870,1,1,1,1,0.849364,0.149403,4.920449,-0.101224,0.174173,4.615345,-0.263342,-0.522105,4.392715,-0.086910,0.107727,4.379758,-0.071458,0.336069,4.644749,-0.057149,0.279502,4.680079,-65.153847,76.358032,47.266373,-143.898819,0.0,6,1,1,1,-65.647575,75.979897,-0.952854,0.031461,-0.301794,0.030123,0.999505,0.009090,0.301931,-0.000429,-0.953330,1
7,0.310353,1,1,1,1,0.847462,0.148064,4.905378,-0.101628,0.170404,4.597631,-0.262677,-0.525763,4.374023,-0.086192,0.103873,4.361380,-0.071711,0.331872,4.626508,-0.058024,0.273227,4.662744,-65.327995,76.358032,47.266373,-143.898819,0.0,7,1,1,1,-65.851128,75.900551,-0.952569,0.030024,-0.302838,0.028775,0.999549,0.008589,0.302959,-0.000533,-0.953003,1
8,0.379321,1,1,1,1,0.842987,0.143375,4.867642,-0.102070,0.159588,4.552535,-0.260216,-0.539049,4.330866,-0.083851,0.093512,4.319057,-0.071388,0.319525,4.585075,-0.058849,0.257291,4.622810,-65.732628,76.103600,47.266373,-143.898819,0.0,8,1,1,1,-66.253616,75.775993,-0.951429,0.026015,-0.306766,0.024939,0.999661,0.007426,0.306856,-0.000586,-0.951756,1
9,0.413805,1,1,1,1,0.840903,0.141329,4.849074,-0.101884,0.155118,4.529689,-0.258355,-0.543021,4.306715,-0.081911,0.088947,4.295318,-0.069933,0.313783,4.561908,-0.057950,0.250458,4.600173,-65.910667,76.103600,47.266373,-144.032700,0.0,9,1,1,1,-66.445465,75.658150,-0.950757,0.024089,-0.309000,0.023112,0.999710,0.006823,0.309075,-0.000654,-0.951037,1
10,0.482772,1,1,1,1,0.838408,0.137829,4.815983,-0.100081,0.146684,4.487737,-0.254161,-0.549000,4.259916,-0.073108,0.080904,4.249259,-0.055949,0.303691,4.516822,-0.044532,0.239602,4.555645,-66.316994,75.618523,47.266373,-144.286652,0.0,10,1,1,1,-66.840172,74.993935,-0.948825,0.019662,-0.315188,0.018878,0.999806,0.005539,0.315236,-0.000695,-0.949013,1
